Governorate,district,psu,Location.Name,popgroup,pop,stratum
Diyala,al.khalis,2401025,Arab Shanon,idp_out_camp,20,al.khalisidp_out_camp
Diyala,al.khalis,2401032,Markaz Hibhib,idp_out_camp,115,al.khalisidp_out_camp
Diyala,al.khalis,2401036,Hibhib-Al Asry Qtr,idp_out_camp,12,al.khalisidp_out_camp
Diyala,al.khalis,2401040,Hibhib-Al Shohadaa Qtr,idp_out_camp,38,al.khalisidp_out_camp
Diyala,al.khalis,2401042,Hibhib-Hay Al Resala,idp_out_camp,13,al.khalisidp_out_camp
Diyala,al.khalis,2401043,Jadidat Al Shat village,idp_out_camp,65,al.khalisidp_out_camp
Diyala,al.khalis,2401046,Saif Saad Qtr,idp_out_camp,61,al.khalisidp_out_camp
Diyala,baquba,2403001,Markaz Al Abara,idp_out_camp,81,baqubaidp_out_camp
Diyala,baquba,2403004,Al Gatoon-Al Mujama Qtr,idp_out_camp,90,baqubaidp_out_camp
Diyala,baquba,2403005,Al Gatoon-Al rahma,idp_out_camp,420,baqubaidp_out_camp
Dahuk,zakho,1104062,Abasiya Sector,idp_out_camp,975,zakhoidp_out_camp
Diyala,baquba,2403008,Al Mafraq,idp_out_camp,254,baqubaidp_out_camp
Diyala,baquba,2403015,Al Tahreer,idp_out_camp,425,baqubaidp_out_camp
Dahuk,zakho,1104063,Firqa Sector,idp_out_camp,871,zakhoidp_out_camp
Diyala,baquba,2403029,Buhriz-Al-Asri Qtr,idp_out_camp,15,baqubaidp_out_camp
Dahuk,al.amadiya,1101020,Nahla Area,idp_out_camp,45,al.amadiyaidp_out_camp
Dahuk,zakho,1104064,Kochka Honari,idp_out_camp,880,zakhoidp_out_camp
Diyala,baquba,2403039,Al Salam Qtr,idp_out_camp,55,baqubaidp_out_camp
Diyala,baquba,2403040,Al-Mualimeen-Shahid wadah Qtr,idp_out_camp,100,baqubaidp_out_camp
Diyala,baquba,2403044,Markaz Kanaan,idp_out_camp,50,baqubaidp_out_camp
Diyala,baquba,2403060,Sesbana Village,idp_out_camp,18,baqubaidp_out_camp
Diyala,baladruz,2404001,Al Bazaniya village,idp_out_camp,8,baladruzidp_out_camp
Diyala,baladruz,2404010,Al-Ramaila Village,idp_out_camp,14,baladruzidp_out_camp
Diyala,baladruz,2404015,Dur Mandiliy Qtr,idp_out_camp,15,baladruzidp_out_camp
Diyala,baladruz,2404016,Hay Al Bakir,idp_out_camp,75,baladruzidp_out_camp
Diyala,baladruz,2404020,Markaz Mandali,idp_out_camp,90,baladruzidp_out_camp
Diyala,khanaqin,2405013,alkubeah small village,idp_out_camp,25,khanaqinidp_out_camp
Diyala,khanaqin,2405020,Bakhtiari Qtr,idp_out_camp,350,khanaqinidp_out_camp
Diyala,khanaqin,2405030,Alshortah Qtr,idp_out_camp,23,khanaqinidp_out_camp
Diyala,kifri,2405034,Markaz Jabara,idp_out_camp,140,kifriidp_out_camp
Diyala,kifri,2405041,Khozifah village,idp_out_camp,40,kifriidp_out_camp
Diyala,khanaqin,2405055,Rapren-2 Qtr,idp_out_camp,18,khanaqinidp_out_camp
Diyala,khanaqin,2405062,Sirwan Qtr,idp_out_camp,40,khanaqinidp_out_camp
Diyala,khanaqin,2405068,Tula Frosh Qtr,idp_out_camp,165,khanaqinidp_out_camp
Diyala,khanaqin,2405070,Zurab village,idp_out_camp,42,khanaqinidp_out_camp
Dahuk,al.amadiya,1101021,Azadi,idp_out_camp,9,al.amadiyaidp_out_camp
Diyala,khanaqin,2405077,Banmil-2 Qtr,idp_out_camp,60,khanaqinidp_out_camp
Diyala,khanaqin,2405080,Agha and Khalifa,idp_out_camp,30,khanaqinidp_out_camp
Diyala,khanaqin,2405142,Al Ummal Qtr,idp_out_camp,7,khanaqinidp_out_camp
Diyala,kifri,2406002,Qaratappa,idp_out_camp,125,kifriidp_out_camp
Diyala,kifri,2406004,awbrey,idp_out_camp,96,kifriidp_out_camp
Diyala,kifri,2406007,emam mohammed,idp_out_camp,75,kifriidp_out_camp
Diyala,kifri,2406012,raparin,idp_out_camp,81,kifriidp_out_camp
Diyala,kifri,2406013,azadi,idp_out_camp,64,kifriidp_out_camp
Diyala,kifri,2406016,sar qala,idp_out_camp,153,kifriidp_out_camp
Diyala,kifri,2406019,shahidan,idp_out_camp,53,kifriidp_out_camp
Erbil,erbil,1202006,Andazyaran,idp_out_camp,390,erbilidp_out_camp
Kerbala,al.hindiya,2502018,Al-Hindiya-Hay Al-Amel,idp_out_camp,22,al.hindiyaidp_out_camp
Kerbala,al.hindiya,2502023,Kareat al jubur,idp_out_camp,38,al.hindiyaidp_out_camp
Kerbala,al.hindiya,2502027,Al abodea,idp_out_camp,69,al.hindiyaidp_out_camp
Kerbala,al.hindiya,2502036,Al Jedar Al Gharbi,idp_out_camp,45,al.hindiyaidp_out_camp
Kerbala,al.hindiya,2502043,Albu Zagam,idp_out_camp,33,al.hindiyaidp_out_camp
Kerbala,al.hindiya,2502046,Al-Jadwal Al-Ghrabi-Al Askary,idp_out_camp,20,al.hindiyaidp_out_camp
Kerbala,al.hindiya,2502047,Al-Khayrat,idp_out_camp,476,al.hindiyaidp_out_camp
Kerbala,kerbela,2503017,Al Askary-Al haidery,idp_out_camp,115,kerbelaidp_out_camp
Erbil,erbil,1202010,Bahrka center,idp_out_camp,500,erbilidp_out_camp
Kerbala,kerbela,2503049,Al Amam Al Montadar,idp_out_camp,10,kerbelaidp_out_camp
Kerbala,kerbela,2503064,Al Kaim,idp_out_camp,15,kerbelaidp_out_camp
Kerbala,kerbela,2503074,Al Qadissiya 2,idp_out_camp,14,kerbelaidp_out_camp
Kerbala,kerbela,2503076,Al Rawdhatain,idp_out_camp,22,kerbelaidp_out_camp
Kerbala,kerbela,2503126,Al-Rafedeen,idp_out_camp,14,kerbelaidp_out_camp
Kerbala,kerbela,2503127,Al-Safiya 2,idp_out_camp,490,kerbelaidp_out_camp
Kerbala,kerbela,2503170,Hay Al-Abbas,idp_out_camp,24,kerbelaidp_out_camp
Kerbala,kerbela,2503196,Hay al-tahady,idp_out_camp,15,kerbelaidp_out_camp
Kerbala,kerbela,2503203,Kantraat Al Salam,idp_out_camp,48,kerbelaidp_out_camp
Kerbala,kerbela,2503220,Al-hadi,idp_out_camp,35,kerbelaidp_out_camp
Kerbala,kerbela,2503227,Mulhaq Al-Intisar,idp_out_camp,53,kerbelaidp_out_camp
Kerbala,kerbela,2503252,Hay al mostafa,idp_out_camp,15,kerbelaidp_out_camp
Kirkuk,daquq,2602005,Fareeq Awa,idp_out_camp,74,daquqidp_out_camp
Kirkuk,daquq,2602007,Hay Ashti,idp_out_camp,113,daquqidp_out_camp
Kirkuk,kirkuk,2602010,Laylan-Al Abadat village,idp_out_camp,57,kirkukidp_out_camp
Kirkuk,daquq,2602011,Laylan-Bash Bulaq village,idp_out_camp,120,daquqidp_out_camp
Kirkuk,daquq,2602013,Taza-Omer Bin Khattab,idp_out_camp,205,daquqidp_out_camp
Kirkuk,daquq,2602035,Hay Al-Salam ( Daquq ),idp_out_camp,150,daquqidp_out_camp
Kirkuk,daquq,2602036,Hay Klisa 1,idp_out_camp,100,daquqidp_out_camp
Kirkuk,daquq,2602037,Hay Nawroz ( Daquq),idp_out_camp,87,daquqidp_out_camp
Kirkuk,daquq,2602038,Hay Runaki / Daquq,idp_out_camp,85,daquqidp_out_camp
Kirkuk,kirkuk,2603006,Al Tadamon(Hawkari),idp_out_camp,900,kirkukidp_out_camp
Kirkuk,dibis,2603011,Bajwan,idp_out_camp,110,dibisidp_out_camp
Kirkuk,kirkuk,2603014,Hay Adan,idp_out_camp,195,kirkukidp_out_camp
Kirkuk,kirkuk,2603016,Hay Al Jamia-Mahalla 622,idp_out_camp,2128,kirkukidp_out_camp
Kirkuk,kirkuk,2603022,Hay Al-Khadraa,idp_out_camp,140,kirkukidp_out_camp
Kirkuk,kirkuk,2603025,Hay Al-Sinay,idp_out_camp,175,kirkukidp_out_camp
Kirkuk,kirkuk,2603027,Hay Al-Zawraa,idp_out_camp,490,kirkukidp_out_camp
Kirkuk,kirkuk,2603028,Hay Arafah 201,idp_out_camp,29,kirkukidp_out_camp
Kirkuk,kirkuk,2603038,Panja Ali,idp_out_camp,572,kirkukidp_out_camp
Kirkuk,kirkuk,2603041,Qaryat Tobzawa,idp_out_camp,140,kirkukidp_out_camp
Kirkuk,kirkuk,2603046,Sary Kahya,idp_out_camp,202,kirkukidp_out_camp
Erbil,erbil,1202032,Hay Askary,idp_out_camp,1150,erbilidp_out_camp
Kirkuk,kirkuk,2603069,Hay Al-Askary 2,idp_out_camp,430,kirkukidp_out_camp
Kirkuk,dibis,2604001,Altun Kupri Center,idp_out_camp,26,dibisidp_out_camp
Kirkuk,dibis,2604005,Hay Al Muaasker,idp_out_camp,40,dibisidp_out_camp
Kirkuk,dibis,2604006,Hay Al Tanak,idp_out_camp,78,dibisidp_out_camp
Kirkuk,dibis,2604007,Hay Al-Shuhadaa,idp_out_camp,97,dibisidp_out_camp
Ninewa,aqra,2701001,Akre,idp_out_camp,1690,aqraidp_out_camp
Ninewa,aqra,2701003,Amyan,idp_out_camp,20,aqraidp_out_camp
Ninewa,aqra,2701004,Banasur,idp_out_camp,53,aqraidp_out_camp
Ninewa,aqra,2701005,Bardarash,idp_out_camp,962,aqraidp_out_camp
Ninewa,aqra,2701009,Daratu,idp_out_camp,109,aqraidp_out_camp
Ninewa,al.hamdaniya,2701012,Kalak,idp_out_camp,642,al.hamdaniyaidp_out_camp
Ninewa,aqra,2701014,Khalilkan,idp_out_camp,68,aqraidp_out_camp
Erbil,erbil,1202034,Kani Qarzhala,idp_out_camp,182,erbilidp_out_camp
Ninewa,aqra,2701017,Roviya,idp_out_camp,687,aqraidp_out_camp
Ninewa,al.shikhan,2701033,Husseini,idp_out_camp,16,al.shikhanidp_out_camp
Ninewa,aqra,2701034,Yakmala,idp_out_camp,38,aqraidp_out_camp
Ninewa,al.hamdaniya,2701035,Zangal,idp_out_camp,48,al.hamdaniyaidp_out_camp
Ninewa,al.baaj,2702001,Markaz Baaj,idp_out_camp,226,al.baajidp_out_camp
Ninewa,al.hamdaniya,2703038,Al-Salamiyah Village,idp_out_camp,25,al.hamdaniyaidp_out_camp
Ninewa,al.shikhan,2704002,Baadre,idp_out_camp,688,al.shikhanidp_out_camp
Ninewa,al.shikhan,2704006,Chira,idp_out_camp,187,al.shikhanidp_out_camp
Ninewa,al.shikhan,2704011,Kalakchi,idp_out_camp,301,al.shikhanidp_out_camp
Ninewa,al.shikhan,2704012,Mahad,idp_out_camp,250,al.shikhanidp_out_camp
Ninewa,al.shikhan,2704015,Qasrok,idp_out_camp,310,al.shikhanidp_out_camp
Ninewa,al.shikhan,2704016,Shekhan,idp_out_camp,1678,al.shikhanidp_out_camp
Erbil,erbil,1202039,Kawergosk,idp_out_camp,195,erbilidp_out_camp
Erbil,al.hamdaniya,1202040,Khabat,idp_out_camp,3665,al.hamdaniyaidp_out_camp
Ninewa,al.mosul,2706003,Al Harmaat,idp_out_camp,733,al.mosulidp_out_camp
Ninewa,al.mosul,2706004,Al jazaer,idp_out_camp,700,al.mosulidp_out_camp
Ninewa,tilkaef,2706006,Al rasheediya,idp_out_camp,1600,tilkaefidp_out_camp
Ninewa,al.mosul,2706010,Al tahreer,idp_out_camp,290,al.mosulidp_out_camp
Ninewa,al.mosul,2706011,Al Tanak,idp_out_camp,285,al.mosulidp_out_camp
Ninewa,al.mosul,2706033,Al-Wahda,idp_out_camp,375,al.mosulidp_out_camp
Erbil,erbil,1202043,Kurd Stan,idp_out_camp,145,erbilidp_out_camp
Ninewa,al.mosul,2706043,Hay Al Intisar,idp_out_camp,743,al.mosulidp_out_camp
Ninewa,al.mosul,2706044,Hay Al Islah Al Zirai,idp_out_camp,302,al.mosulidp_out_camp
Ninewa,al.mosul,2706048,Hay Al Tammem,idp_out_camp,360,al.mosulidp_out_camp
