"","id_sampl","Survey","strata","psu","DTM.Round","Place.ID","Governorate","District","Location.Name","Arabic.Name","Latitude","Longitude","Families","critical_shelter","COD_Subdistrict","COD_Governorate","pop","IDP_perc","SumDist","proba","survey_buffer"
"125","id_2390",12,"Tikrit","2808089",109,33440,"Salah al-Din","Tikrit","Al-Qadisya Complex","مجمع القادسية",34.6505041933,43.6632821616,842,TRUE,"Um Al-Qura","Salah Al-Din",324.61622573932,259.38321415768,7985.34586546322,0.0406514922720244,13
"126","id_2394",14,"Tooz Khurmato","2809005",109,25866,"Salah al-Din","Tooz","Hay Komari-120","حي كوماري م(5-الطوز)محلة 120",34.8963111574,44.6257252615,885,TRUE,"Markaz Tooz Khurmato","Salah Al-Din",652.596165657043,135.612197339371,2566.81413884958,0.254243638360794,15
"127","id_2395",27,"Tooz Khurmato","2809007",109,25868,"Salah al-Din","Tooz","Hay Rizgari-114","حي رزكاري م(5-الطوز)محلة 114",34.8867014915,44.6426739199,317,TRUE,"Markaz Tooz Khurmato","Salah Al-Din",931.643398841222,34.0258944993637,2566.81413884958,0.3629570932856,28
"128","id_2397",15,"Tooz Khurmato","2809010",109,25754,"Salah al-Din","Tooz","Markaz Tooz-Hay Al Askari","حي العسكري",34.8789338333,44.615667139,770,TRUE,"Markaz Tooz Khurmato","Salah Al-Din",686.691792329152,112.131819340417,2566.81413884958,0.267526885541047,16
"129","id_2406",10,"Tooz Khurmato","2809022",109,25872,"Salah al-Din","Tooz","Unformal Shelter","سكن غير رسمي",34.9051509006,44.622257134,330,TRUE,"Markaz Tooz Khurmato","Salah Al-Din",295.882782022158,111.530653370458,2566.81413884958,0.115272382812559,11
"130","id_2476",62,"Al-Suwaira","2904060",109,24967,"Wassit","Al-Azezia","Taj al-dien center 1","مركز تاج الدين 1",32.9892205611,44.8433706424,33,TRUE,"Al-Hafriya","Wassit",643.250824669997,5.13019163511058,643.250824669997,1,64
"131","id_2484",15,"Al-Kut","2906001",109,19548,"Wassit","Kut","Al Batar village","قرية البتار",32.5665956931,45.6494594545,38,TRUE,"Markaz Al-Kut","Wassit",818.901432325443,4.64036311331035,3804.60750679672,0.215239398771758,16
"132","id_2501",31,"Al-Kut","2906023",109,24261,"Wassit","Kut","Hay Al-Hawaraa 3","حي الحوراء الثالثة",32.4870263336,45.848593049,63,TRUE,"Wasit","Wassit",1516.86488749584,4.15330333764964,3804.60750679672,0.398691556168683,32
"133","id_2520",3,"Al-Kut","2906051",109,22693,"Wassit","Kut","Al-Jihad-Al Thaqalain","الجهاد-الثقلين",32.4807578385,45.8165036781,28,TRUE,"Wasit","Wassit",223.74122317632,12.5144573728975,3804.60750679672,0.058807964494792,4
"134","id_2522",5,"Al-Kut","2906055",109,20872,"Wassit","Kut","Hay Al-Hakeem","حي الحكيم",32.5390314701,45.8509579368,25,TRUE,"Markaz Al-Kut","Wassit",283.618390162786,8.8146611316886,3804.60750679672,0.0745460312676452,6
"135","id_2525",10,"Al-Kut","2906059",109,19070,"Wassit","Kut","Hay al-zahraa","حي الزهراء",32.5229187399,45.8169767969,15,TRUE,"Markaz Al-Kut","Wassit",544.465139071147,2.75499732188362,3804.60750679672,0.14310678252579,11
"136","id_2528",3,"Al-Kut","2906064",109,24787,"Wassit","Kut","Sewada Said Shati","سوادة وسيد شاطي",32.5946979347,45.9424674909,18,TRUE,"Markaz Al-Kut","Wassit",417.016434565187,4.31637664802544,3804.60750679672,0.109608266771332,4
"137","id_2655",25,"Al-Basrah","3105030",109,963,"Basrah","Basrah","AL Mowafaqiah","البصرة-الموفقية",30.5218062,47.787362,17,TRUE,"Markaz Al-Basrah","Al-Basrah",2086.85378201803,0.814623436796836,4905.98952229818,0.425368577028769,26
"138","id_2681",9,"Al-Basrah","3105069",109,24182,"Basrah","Basrah","Casino Lebnan","البصرة-كازينو لبنان",30.5077651,47.8083123,13,TRUE,"Markaz Al-Basrah","Al-Basrah",679.078577041626,1.91435872659006,4905.98952229818,0.138418268925188,10
"139","id_2701",4,"Al-Basrah","3105094",109,860,"Basrah","Basrah","Hay Al Risalah","البصرة-حي الرسالة",30.4988958,47.8068462,21,TRUE,"Markaz Al-Basrah","Al-Basrah",548.395413716634,3.8293536880035,4905.98952229818,0.111780795948325,5
