,id_sampl,Survey,strata,psu,Place_ID,Governorate,District,Location_name,Arabic_name,Latitude,Longitude,OCHA_admin_1,OCHA_admin_2,OCHA_PCode,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
14,id_114,6,Al-Falluja,2105044,173,Anbar,Falluja,Al-jamhuriya,الجمهورية,33.35025162,43.77339355,IQ-G01,IQ-D002,IQ-P00093,2356,Markaz Al-Falluja,Al-Anbar,90536,0.026022798,7
15,id_115,12,Al-Falluja,2105045,299,Anbar,Falluja,Al-Julan,الجولان,33.36393445,43.76858627,IQ-G01,IQ-D002,IQ-P00094,2997,Markaz Al-Falluja,Al-Anbar,90536,0.033102854,13
16,id_1196,6,Sinjar,2707001,22490,Ninewa,Sinjar,Hay Al Naser,حي النصر,36.32051324,41.84475215,IQ-G15,IQ-D089,IQ-P20602,85,Markaz Sinjar,Ninewa,9775,0.008695652,7
17,id_1198,12,Sinjar,2707005,17928,Ninewa,Sinjar,Sinuni center,مركز سنوني,36.46593984,41.70783645,IQ-G15,IQ-D089,IQ-P20662,900,Al-Shamal,Ninewa,9775,0.092071611,13
18,id_1199,12,Sinjar,2707006,27283,Ninewa,Sinjar,Dokri,دوكري,36.47017334,41.73811458,IQ-G15,IQ-D089,,500,Al-Shamal,Ninewa,9775,0.051150895,13
19,id_12,12,Makhmour,1204032,13361,Erbil,Makhmur,Kapran,كبران,36.05915,43.50751,IQ-G11,IQ-D066,IQ-P14354,442,Gwyer,Erbil,6226,0.070992612,16
20,id_120,6,Al-Kadhmiyah,2105052,291,Anbar,Falluja,Al-Shurtan,الشورتان ,33.40761233,44.03962039,IQ-G01,IQ-D002,IQ-P00110,117,Abu Ghraib,Baghdad,4771,0.024523161,7
21,id_1200,6,Sinjar,2707007,27284,Ninewa,Sinjar,Dohola ,دهولا ,36.49092078,41.80661594,IQ-G15,IQ-D089,,850,Al-Shamal,Ninewa,9775,0.086956522,7
22,id_1201,12,Sinjar,2707008,27285,Ninewa,Sinjar,Borek,بورك ,36.49436739,41.8687921,IQ-G15,IQ-D089,,1900,Al-Shamal,Ninewa,9775,0.194373402,13
23,id_1202,6,Sinjar,2707009,18048,Ninewa,Sinjar,Guhbal and shorka,كهبل +شوركا  ,36.50572952,41.9620015,IQ-G15,IQ-D089,IQ-P20597,550,Al-Shamal,Ninewa,9775,0.056265985,7
24,id_1213,6,Sinjar,2707021,27366,Ninewa,Sinjar,Balif,بليف,36.4286986,41.70025953,IQ-G15,IQ-D089,,107,Al-Shamal,Ninewa,9775,0.010946292,7
25,id_1221,6,Sinjar,2707030,17720,Ninewa,Sinjar,Bir Adam,بير ادم,36.54227424,41.70882949,IQ-G15,IQ-D089,IQ-P20588,12,Al-Shamal,Ninewa,9775,0.001227621,7
26,id_1228,18,Sinjar,2707038,27287,Ninewa,Sinjar,Zorava and zirwa,زورافا+زيروا ,36.47246728,42.01568212,IQ-G15,IQ-D089,,731,Al-Shamal,Ninewa,9775,0.074782609,19
27,id_1244,6,Sinjar,2707056,18016,Ninewa,Sinjar,Golat,كولات,36.4036,42.1386,IQ-G15,IQ-D089,,320,Markaz Sinjar,Ninewa,9775,0.032736573,7
28,id_1246,6,Sinjar,2707058,33486,Ninewa,Sinjar,Sibaya Ammash Village,قرية سيباية عماش,36.193079,42.06268,IQ-G15,IQ-D089,,60,Al-Qairawan,Ninewa,9775,0.006138107,7
29,id_125,6,Al-Falluja,2105057,22706,Anbar,Falluja,Halabsa-Falluja,قرية الحلابسة ,33.32787499,43.72041925,IQ-G01,IQ-D002,IQ-P00128,2169,Markaz Al-Falluja,Al-Anbar,90536,0.023957321,7
30,id_1250,6,Sinjar,2707062,33517,Ninewa,Sinjar,Khazoga,خازوكة,36.591867,41.878435,IQ-G15,IQ-D089,,170,Al-Shamal,Ninewa,9775,0.017391304,7
31,id_1262,6,Telafar,2708011,25944,Ninewa,Telafar,Qasabat Zummar,قصبة زمار,36.65599757,42.59842495,IQ-G15,IQ-D090,,4050,Zummar,Ninewa,54996,0.073641719,7
32,id_127,6,Al-Falluja,2105060,47,Anbar,Falluja,Luhib,اللهيب,33.3842137,43.97997737,IQ-G01,IQ-D002,IQ-P00157,865,Al-Garma,Al-Anbar,90536,0.00955421,7
