,id_sampl,Survey,strata,psu,DTM.Round,Place.ID,Governorate,District,Location.Name,Arabic.Name,Latitude,Longitude,pop,COD_Subdistrict,COD_Governorate,SumDist,proba,survey_buffer
89,id_1576,6,Baquba,2403004,109,11177,Diyala,Ba'quba,Al Gatoon-Al Mujama Qtr,الكاطون-حي المجمع,33.75767092,44.5821734,90,Beni Saad,Diyala,3916,0.022982635,7
90,id_1577,24,Baquba,2403005,109,24915,Diyala,Ba'quba,Al Gatoon-Al rahma,الكاطون-الرحمة,33.75714188,44.60167654,420,Beni Saad,Diyala,3916,0.107252298,25
91,id_158,12,Zakho,1104062,109,32031,Dahuk,Zakho,Abasiya Sector,قطاع عباسية,37.14531861,42.70885141,975,Markaz Zakho,Duhok,8749,0.111441308,13
92,id_1580,18,Baquba,2403008,109,11189,Diyala,Ba'quba,Al Mafraq,المفرق,33.74319557,44.61068186,254,Beni Saad,Diyala,3916,0.064862104,19
93,id_1587,18,Baquba,2403015,109,11178,Diyala,Ba'quba,Al Tahreer,التحرير,33.73856555,44.65190489,425,Buhriz,Diyala,3916,0.108529111,19
94,id_159,6,Zakho,1104063,109,32032,Dahuk,Zakho,Firqa Sector,قطاع فرقة,37.15799712,42.70444656,871,Dercar,Duhok,8749,0.099554235,7
95,id_1598,6,Baquba,2403029,109,24918,Diyala,Ba'quba,Buhriz-Al-Asri Qtr,بهرز-الحي العصري,33.70650003,44.65026495,15,Buhriz,Diyala,3916,0.003830439,7
96,id_16,6,Al-Amadiya,1101020,109,27120,Dahuk,Amedi,Nahla Area,منطقة نهلة,36.86370972,43.69317721,45,Sarsank,Duhok,514,0.087548638,7
97,id_160,6,Zakho,1104064,109,32033,Dahuk,Zakho,Kochka Honari,قطاع كوجكا هوناري,37.16704305,42.68757124,880,Dercar,Duhok,8749,0.100582924,7
98,id_1607,6,Baquba,2403039,109,11251,Diyala,Ba'quba,Al Salam Qtr,حي السلام,33.71426296,44.6523095,55,Buhriz,Diyala,3916,0.014044944,7
99,id_1608,12,Baquba,2403040,109,21413,Diyala,Ba'quba,Al-Mualimeen-Shahid wadah Qtr,حي المعلمين-الشهيد وضاح,33.72840161,44.60901875,100,Beni Saad,Diyala,3916,0.025536261,13
100,id_1611,6,Baquba,2403044,109,11363,Diyala,Ba'quba,Markaz Kanaan,مركز ناحية كنعان ,33.69090728,44.797203,50,Kanan,Diyala,3916,0.012768131,7
