"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"dependent.var126","lsg_fs","ones",NA,"ones",1.89032258064516,NA,1.79113242803365,1.98951273325668,"district","al.kaim"
"dependent.var127","lsg_fs","ones",NA,"ones",1.32735426008969,NA,1.26562745480358,1.3890810653758,"district","haditha"
"dependent.var128","lsg_fs","ones",NA,"ones",1.86075949367089,NA,1.69239835188015,2.02912063546162,"district","al.rutba"
"dependent.var129","lsg_fs","ones",NA,"ones",1.60079051383399,NA,1.55184460767585,1.64973641999213,"district","khanaqin"
"dependent.var130","lsg_fs","ones",NA,"ones",1.25287356321839,NA,1.17890533689736,1.32684178953942,"district","al.adhamiya"
"dependent.var131","lsg_fs","ones",NA,"ones",1.4804469273743,NA,1.39925141266145,1.56164244208716,"district","kalar"
"dependent.var132","lsg_fs","ones",NA,"ones",1.34591194968553,NA,1.27174328884797,1.4200806105231,"district","al.hatra"
"dependent.var133","lsg_fs","ones",NA,"ones",1.46969696969697,NA,1.33441078409937,1.60498315529457,"district","al.muqdadiya"
"dependent.var134","lsg_fs","ones",NA,"ones",1.55135951661631,NA,1.50927433527396,1.59344469795867,"district","sumail"
"dependent.var135","lsg_fs","ones",NA,"ones",1.61904761904762,NA,1.40832555530211,1.82976968279313,"district","rawanduz"
"dependent.var136","lsg_fs","ones",NA,"ones",1.67116182572614,NA,1.62787760129642,1.71444605015586,"district","al.mosul"
"dependent.var137","lsg_fs","ones",NA,"ones",1.59061833688699,NA,1.54229971095845,1.63893696281554,"district","al.shikhan"
"dependent.var138","lsg_fs","ones",NA,"ones",2.23863636363636,NA,2.03829931329339,2.43897341397934,"district","balad"
"dependent.var139","lsg_fs","ones",NA,"ones",1.75454545454545,NA,1.65642713792675,1.85266377116416,"district","al.mahmoudiya"
"dependent.var140","lsg_fs","ones",NA,"ones",1.95652173913043,NA,1.83578864846724,2.07725482979363,"district","ana"
"dependent.var141","lsg_fs","ones",NA,"ones",1.76279069767442,NA,1.676636084811,1.84894531053784,"district","sinjar"
"dependent.var142","lsg_fs","ones",NA,"ones",1.17582417582418,NA,1.09717827939705,1.2544700722513,"district","al.diwaniya"
"dependent.var143","lsg_fs","ones",NA,"ones",1.81034482758621,NA,1.71164743466921,1.9090422205032,"district","kerbela"
"dependent.var144","lsg_fs","ones",NA,"ones",1.52173913043478,NA,1.44187161011213,1.60160665075743,"district","al.hindiya"
"dependent.var145","lsg_fs","ones",NA,"ones",1.23280423280423,NA,1.16561481151017,1.29999365409829,"district","al.ramadi"
"dependent.var146","lsg_fs","ones",NA,"ones",1.80654761904762,NA,1.7259320897634,1.88716314833183,"district","tikrit"
"dependent.var147","lsg_fs","ones",NA,"ones",1.59866220735786,NA,1.53047651936299,1.66684789535273,"district","erbil"
"dependent.var148","lsg_fs","ones",NA,"ones",2.02739726027397,NA,1.92838592458591,2.12640859596204,"district","tilkaef"
"dependent.var149","lsg_fs","ones",NA,"ones",1.82939632545932,NA,1.75729836973453,1.90149428118411,"district","al.shirqat"
"dependent.var150","lsg_fs","ones",NA,"ones",1.62345679012346,NA,1.56809056256041,1.6788230176865,"district","kirkuk"
"dependent.var151","lsg_fs","ones",NA,"ones",2.22857142857143,NA,1.98637421298964,2.47076864415321,"district","samarra"
"dependent.var152","lsg_fs","ones",NA,"ones",1.77272727272727,NA,1.62156666445574,1.92388788099881,"district","chamchamal"
"dependent.var153","lsg_fs","ones",NA,"ones",1.65289256198347,NA,1.53400873648664,1.7717763874803,"district","al.hawiga"
"dependent.var154","lsg_fs","ones",NA,"ones",1.24305555555556,NA,1.16763333775518,1.31847777335593,"district","al.risafa"
"dependent.var155","lsg_fs","ones",NA,"ones",1.58490566037736,NA,1.43893377361109,1.73087754714362,"district","shaqlawa"
